"U:0","U:1","U:2","alpha.water","epsilon","k","nut","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7244,-0.0024897,-0.00025928,0.0043576,4.2424,0.057194,6.9607e-05,3.527,-12.105,1,0.002625,0.55,0.0025,0.002625
1.7223,-0.0026174,-0.00025457,0.0027889,4.2822,0.057554,6.9814e-05,3.5247,-7.53,1,0.00264,0.55,0.0025,0.00264
1.7203,-0.0027451,-0.00024986,0.0012201,4.3221,0.057914,7.0022e-05,3.5224,-2.9546,1,0.002655,0.55,0.0025,0.002655
1.7178,-0.002906,-0.00023364,8.3294e-10,4.3608,0.058261,7.0221e-05,3.5207,0.60399,1,0.00267,0.55,0.0025,0.00267
1.7136,-0.0031828,-0.00017713,8.6958e-10,4.3952,0.05856,7.0394e-05,3.5206,0.60401,1,0.002685,0.55,0.0025,0.002685
1.7095,-0.0034597,-0.00012062,9.0622e-10,4.4296,0.058859,7.0568e-05,3.5205,0.60404,1,0.0027,0.55,0.0025,0.0027
1.7053,-0.0037365,-6.4108e-05,9.4286e-10,4.4641,0.059158,7.0741e-05,3.5204,0.60407,1,0.002715,0.55,0.0025,0.002715
1.7012,-0.0040133,-7.5999e-06,9.7949e-10,4.4985,0.059457,7.0914e-05,3.5203,0.60409,1,0.00273,0.55,0.0025,0.00273
1.6971,-0.0042902,4.891e-05,1.0161e-09,4.5329,0.059756,7.1087e-05,3.5202,0.60412,1,0.002745,0.55,0.0025,0.002745
1.6929,-0.004567,0.00010542,1.0528e-09,4.5673,0.060055,7.1261e-05,3.5201,0.60414,1,0.00276,0.55,0.0025,0.00276
1.6888,-0.0048438,0.00016193,1.0894e-09,4.6017,0.060354,7.1434e-05,3.52,0.60417,1,0.002775,0.55,0.0025,0.002775
1.6846,-0.0051206,0.00021844,1.126e-09,4.6362,0.060653,7.1607e-05,3.5199,0.60419,1,0.00279,0.55,0.0025,0.00279
1.6805,-0.0053975,0.00027495,1.1627e-09,4.6706,0.060952,7.178e-05,3.5198,0.60422,1,0.002805,0.55,0.0025,0.002805
